action,simp,x,y
Insert BNC,Insert,0.50946812,-0.00910822
Insert BNC,Insert,0.58048446,0.09346945
Insert BNC,Insert,0.67322553,0.00350446
Insert BNC,Insert,0.67906081,-0.31756374
Insert BNC,Insert,0.591642,-0.2387181
Insert BNC,Insert,0.48949639,-0.27257525
Insert BNC,Insert,0.57948861,-0.30766497
Insert BNC,Insert,0.68841787,0.20600124
Insert BNC,Insert,0.56972659,0.07982722
Insert BNC,Insert,0.47402279,0.17161205
Insert BNC,Insert,0.45892592,-0.0230348
Insert BNC,Insert,0.48507949,-0.09908811
Insert BNC,Insert,0.51944192,0.23291794
Insert BNC,Insert,0.4501848,0.12304052
Insert BNC,Insert,0.46411375,-0.08471072
Insert BNC,Insert,0.45386286,-0.14785632
Insert BNC,Insert,0.50432591,-0.28655891
Insert BNC,Insert,0.57134263,-0.10219686
Insert BNC,Insert,0.54760091,-0.11539724
Insert BNC,Insert,0.52597814,-0.38387172
Insert BNC,Insert,0.63332964,0.0995886
Insert BNC,Insert,0.63608062,-0.05465644
Insert BNC,Insert,0.41254954,-0.34227892
Insert BNC,Insert,0.36104039,-0.42285389
Insert BNC,Insert,0.27773706,-0.54012817
Insert BNC,Insert,0.35007388,0.38705646
Insert BNC,Insert,0.48318018,-0.06548623
Insert BNC,Insert,0.56150576,-0.34741759
Insert BNC,Insert,0.44352208,-0.27248068
Insert BNC,Insert,0.57900937,0.06198596
Insert BNC,Insert,0.47467738,0.12633657
Insert BNC,Insert,0.59512357,-0.13445112
Insert BNC,Insert,0.57078669,-0.08247878
Insert BNC,Insert,0.36975372,-0.3774542
Insert BNC,Insert,0.5705326,0.12125757
Insert BNC,Insert,0.54153723,0.21278787
Insert BNC,Insert,0.58672628,0.20634432
Insert BNC,Insert,0.48318467,-0.26962077
Insert BNC,Insert,0.48158682,-0.04214242
Insert BNC,Insert,0.52633069,0.06689071
Insert BNC,Insert,0.61582653,0.26593672
Insert BNC,Insert,0.51144488,0.01040306
Insert BNC,Insert,0.56209229,-0.31469937
Insert BNC,Insert,0.55082547,0.16418358
Insert BNC,Insert,0.57121585,-0.35288103
Insert BNC,Insert,0.57181065,0.35090974
Insert BNC,Insert,0.46884219,0.10880281
Insert BNC,Insert,0.47818845,-0.13413146
Insert BNC,Insert,0.47533083,-0.16247079
Insert BNC,Insert,0.65911161,0.06448448
Insert BNC,Insert,0.64203574,0.04277603
Insert BNC,Insert,0.48590674,-0.27232948
Insert BNC,Insert,0.60270431,0.25272653
Insert BNC,Insert,0.54830176,0.15068283
Insert BNC,Insert,0.52500611,-0.46195366
Insert BNC,Insert,0.57733853,-0.13781593
Insert bolt 4,Insert,0.71884076,-0.18240847
Insert bolt 4,Insert,0.41997927,-0.14964147
Insert bolt 4,Insert,0.43327871,0.16567737
Insert bolt 4,Insert,0.41935754,-0.15020671
Insert bolt 4,Insert,0.43509518,-0.50920287
Insert bolt 4,Insert,0.69087419,-0.37669315
Insert bolt 4,Insert,0.73136404,-0.11207373
Insert bolt 4,Insert,0.44465459,0.40959395
Insert bolt 4,Insert,0.43203762,0.10818892
Insert bolt 4,Insert,0.70507011,0.33382181
Insert bolt 4,Insert,0.70527186,0.05566663
Insert bolt 4,Insert,0.73814138,-0.07142848
Insert bolt 4,Insert,0.4870831,-0.40665036
Insert bolt 4,Insert,0.44753045,-0.04854088
Insert bolt 4,Insert,0.7468501,0.07903005
Insert bolt 4,Insert,0.59118419,-0.40133815
Insert bolt 4,Insert,0.72950324,-0.12296292
Insert bolt 4,Insert,0.52942492,0.19055429
Insert bolt 4,Insert,0.31052833,-0.26582366
Insert bolt 4,Insert,0.58663212,-0.11334821
Insert bolt 4,Insert,0.32892183,0.17489539
Insert bolt 4,Insert,0.47868696,0.18893258
Insert bolt 4,Insert,0.21802477,-0.66200975
Insert bolt 4,Insert,0.54983058,-0.51546728
Insert bolt 4,Insert,0.61406205,0.50656734
Insert bolt 4,Insert,0.73996684,-0.22457862
Insert bolt 4,Insert,0.61898013,-0.00501193
Insert bolt 4,Insert,0.60386416,-0.01491065
Insert bolt 4,Insert,0.70546039,-0.40520432
Insert bolt 4,Insert,0.54126216,0.35201954
Insert bolt 4,Insert,0.74714578,0.05183884
Insert bolt 4,Insert,0.7397116,0.03157707
Insert bolt 4,Insert,0.39617692,-0.29803102
Insert bolt 4,Insert,0.7559412,0.10893064
Insert bolt 4,Insert,0.50856269,-0.62998655
Insert bolt 4,Insert,0.44636089,-0.26041831
Insert bolt 4,Insert,0.43101317,-0.05030998
Insert bolt 4,Insert,0.73125942,-0.25749654
Insert bolt 4,Insert,0.67369794,-0.26480705
Insert bolt 4,Insert,0.50230664,-0.21144794
Insert bolt 4,Insert,0.4031859,-0.24425522
Insert bolt 4,Insert,0.58784021,-0.02057093
Insert bolt 4,Insert,0.38362666,-0.06399342
Insert bolt 4,Insert,0.42057192,-0.58258414
Insert bolt 4,Insert,0.7469127,0.07210957
Insert bolt 4,Insert,0.42613878,-0.45761939
Insert bolt 4,Insert,0.43943444,0.24583646
Insert bolt 4,Insert,0.4662293,0.25911462
Insert bolt 4,Insert,0.68499998,-0.12086821
Insert bolt 4,Insert,0.44583742,0.44713409
Insert bolt 4,Insert,0.42357237,-0.06908939
Insert bolt 4,Insert,0.63896662,-0.17027099
Insert bolt 4,Insert,0.32932153,-0.25265755
Insert D-SUB,Insert,0.55749882,-0.07810761
Insert D-SUB,Insert,0.49200636,0.01302553
Insert D-SUB,Insert,0.58402199,0.07395588
Insert D-SUB,Insert,0.5790317,-0.23667772
Insert D-SUB,Insert,0.50565317,-0.32018184
Insert D-SUB,Insert,0.57252999,-0.35488894
Insert D-SUB,Insert,0.6355349,-0.2369906
Insert D-SUB,Insert,0.59048236,0.32430095
Insert D-SUB,Insert,0.50344554,0.02153076
Insert D-SUB,Insert,0.5566707,0.15537444
Insert D-SUB,Insert,0.55196291,-0.02432159
Insert D-SUB,Insert,0.46284683,0.13091659
Insert D-SUB,Insert,0.56725252,0.10615833
Insert D-SUB,Insert,0.49811753,-0.26565529
Insert D-SUB,Insert,0.60170821,-0.22623395
Insert D-SUB,Insert,0.59190262,0.0420689
Insert D-SUB,Insert,0.57790828,-0.28314761
Insert D-SUB,Insert,0.51199607,0.18667185
Insert D-SUB,Insert,0.56739567,0.02817858
Insert D-SUB,Insert,0.31786893,-0.36134757
Insert D-SUB,Insert,0.29204258,-0.50077633
Insert D-SUB,Insert,0.39926814,-0.51492704
Insert D-SUB,Insert,0.45244626,0.41114166
Insert D-SUB,Insert,0.56652984,-0.13463145
Insert D-SUB,Insert,0.58208594,-0.17547278
Insert D-SUB,Insert,0.53942795,-0.33007991
Insert D-SUB,Insert,0.56256036,0.08457567
Insert D-SUB,Insert,0.55455519,0.06814364
Insert D-SUB,Insert,0.49653913,-0.17827163
Insert D-SUB,Insert,0.63426925,-0.00172254
Insert D-SUB,Insert,0.42660361,-0.48714043
Insert D-SUB,Insert,0.39386769,-0.41064176
Insert D-SUB,Insert,0.62655118,0.25802622
Insert D-SUB,Insert,0.49050815,0.10707992
Insert D-SUB,Insert,0.48235643,0.14968662
Insert D-SUB,Insert,0.56328773,-0.26348387
Insert D-SUB,Insert,0.54458434,-0.13215775
Insert D-SUB,Insert,0.50475074,-0.06006006
Insert D-SUB,Insert,0.51238565,0.30674574
Insert D-SUB,Insert,0.44702861,-0.08621742
Insert D-SUB,Insert,0.5681601,-0.20783922
Insert D-SUB,Insert,0.48258967,0.06647591
Insert D-SUB,Insert,0.50371868,-0.45542011
Insert D-SUB,Insert,0.63537526,0.44456657
Insert D-SUB,Insert,0.57308576,0.07614966
Insert D-SUB,Insert,0.46622731,-0.22935359
Insert D-SUB,Insert,0.57176083,0.15571398
Insert D-SUB,Insert,0.57282708,0.15567007
Insert D-SUB,Insert,0.56234396,-0.22322498
Insert D-SUB,Insert,0.54300545,0.3304527
Insert D-SUB,Insert,0.46302119,0.11714555
Insert D-SUB,Insert,0.59760531,-0.32860328
Insert D-SUB,Insert,0.46844014,-0.18075687
Insert Ethernet,Insert,0.41485847,-0.14964112
Insert Ethernet,Insert,0.44974779,0.11071144
Insert Ethernet,Insert,0.72708415,0.14238365
Insert Ethernet,Insert,0.73466921,-0.16541721
Insert Ethernet,Insert,0.42571188,-0.41650648
Insert Ethernet,Insert,0.72618216,-0.37348673
Insert Ethernet,Insert,0.73473313,0.38764119
Insert Ethernet,Insert,0.42425584,0.39388568
Insert Ethernet,Insert,0.6973493,0.05188188
Insert Ethernet,Insert,0.40311561,0.10583863
Insert Ethernet,Insert,0.4733546,-0.16685949
Insert Ethernet,Insert,0.34790942,0.24231375
Insert Ethernet,Insert,0.43145985,-0.04659993
Insert Ethernet,Insert,0.30532572,-0.26529718
Insert Ethernet,Insert,0.59797691,-0.39563387
Insert Ethernet,Insert,0.73065828,-0.04085351
Insert Ethernet,Insert,0.48505354,0.0060334
Insert Ethernet,Insert,0.68996924,-0.39294353
Insert Ethernet,Insert,0.64681564,0.28127737
Insert Ethernet,Insert,0.75045287,0.07627753
Insert Ethernet,Insert,0.3292113,-0.67324194
